epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,4079.34,1.00694,0.8158,1.12236,0.85019,0.80804,0.87361,0.5493,1.22332,0.87566,1.16915,0.002575,0.002575,0.002575
77,4133.57,1.01503,0.83015,1.12707,0.8489,0.81132,0.86787,0.54158,1.22601,0.87448,1.16756,0.002476,0.002476,0.002476
78,4187.82,1.00312,0.80807,1.11764,0.83626,0.81279,0.86692,0.54252,1.23309,0.87765,1.17291,0.002377,0.002377,0.002377
79,4242.02,1.00457,0.81791,1.11908,0.86987,0.79655,0.87282,0.55516,1.22216,0.86675,1.16424,0.002278,0.002278,0.002278
80,4295.97,0.9996,0.80685,1.12129,0.86383,0.80148,0.86959,0.54533,1.2295,0.87762,1.16792,0.002179,0.002179,0.002179
81,4350.3,0.99559,0.81231,1.1164,0.86169,0.80394,0.87625,0.55053,1.2218,0.8697,1.15792,0.00208,0.00208,0.00208
82,4405.09,0.99326,0.80111,1.11258,0.86246,0.79327,0.8646,0.54221,1.22671,0.88132,1.15551,0.001981,0.001981,0.001981
83,4460.81,0.98199,0.79256,1.1065,0.84957,0.79689,0.86503,0.54526,1.21813,0.86981,1.15377,0.001882,0.001882,0.001882
84,4516.17,0.9822,0.78852,1.10753,0.8559,0.80887,0.87061,0.55152,1.2075,0.85244,1.15435,0.001783,0.001783,0.001783
85,4571.5,0.9783,0.79182,1.10562,0.83489,0.80891,0.87039,0.5485,1.21228,0.86,1.15334,0.001684,0.001684,0.001684
86,4626.81,0.96946,0.78037,1.10338,0.84974,0.81296,0.87084,0.5514,1.20845,0.85348,1.15204,0.001585,0.001585,0.001585
87,4682.27,0.96433,0.78041,1.10273,0.84874,0.81933,0.87267,0.55304,1.21249,0.85706,1.15345,0.001486,0.001486,0.001486
88,4736.91,0.96432,0.77798,1.0976,0.85983,0.80514,0.87197,0.55331,1.21239,0.85407,1.1541,0.001387,0.001387,0.001387
89,4790.92,0.9637,0.77846,1.09679,0.85451,0.81424,0.87119,0.55489,1.21116,0.85303,1.15768,0.001288,0.001288,0.001288
90,4844.89,0.96367,0.77395,1.09842,0.85482,0.8105,0.87164,0.553,1.21093,0.85723,1.15983,0.001189,0.001189,0.001189
91,4900.05,0.91901,0.60347,1.092,0.83654,0.82288,0.8668,0.55186,1.2166,0.86632,1.15762,0.00109,0.00109,0.00109
92,4954.52,0.90464,0.58466,1.08846,0.84812,0.8108,0.865,0.55289,1.20938,0.86246,1.15279,0.000991,0.000991,0.000991
93,5008.92,0.88339,0.56461,1.07383,0.8512,0.80558,0.85988,0.5525,1.21268,0.85636,1.15794,0.000892,0.000892,0.000892
94,5063.17,0.88407,0.56917,1.07337,0.84681,0.81542,0.86247,0.55124,1.21061,0.85335,1.1553,0.000793,0.000793,0.000793
95,5117.09,0.87675,0.56149,1.06807,0.84888,0.81104,0.86137,0.55179,1.2063,0.85879,1.15516,0.000694,0.000694,0.000694
96,5171.7,0.86573,0.55115,1.06328,0.84324,0.82034,0.86277,0.55279,1.19977,0.8563,1.15239,0.000595,0.000595,0.000595
97,5226.05,0.85823,0.54534,1.05892,0.84051,0.83006,0.86431,0.55503,1.19759,0.85378,1.15302,0.000496,0.000496,0.000496
98,5280.05,0.85542,0.5424,1.05992,0.85503,0.8105,0.8651,0.55622,1.19654,0.85575,1.15438,0.000397,0.000397,0.000397
99,5334.43,0.84565,0.53625,1.05274,0.85404,0.81378,0.86415,0.55644,1.19829,0.85379,1.1578,0.000298,0.000298,0.000298
100,5388.37,0.84488,0.53726,1.05501,0.8474,0.82454,0.86364,0.55618,1.19589,0.85178,1.15459,0.000199,0.000199,0.000199
