epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2456.21,0.97282,0.56558,1.04404,0.83882,0.83608,0.87625,0.51949,1.47313,0.84454,1.30071,0.000317,0.000317,0.000317
87,2484.29,0.95402,0.55854,1.04139,0.84559,0.83558,0.88397,0.52481,1.46527,0.84096,1.29122,0.0002972,0.0002972,0.0002972
88,2512.38,0.95379,0.55544,1.04037,0.86627,0.84433,0.89498,0.52887,1.46114,0.81969,1.28995,0.0002774,0.0002774,0.0002774
89,2540.43,0.95116,0.54815,1.03244,0.83649,0.8386,0.8815,0.51159,1.50363,0.84638,1.30355,0.0002576,0.0002576,0.0002576
90,2568.45,0.94359,0.55027,1.03396,0.84376,0.82398,0.87919,0.51775,1.47577,0.84639,1.30221,0.0002378,0.0002378,0.0002378
91,2596.82,0.93247,0.49362,1.02966,0.85644,0.80568,0.87322,0.50818,1.48998,0.85236,1.31082,0.000218,0.000218,0.000218
92,2624.56,0.90369,0.47214,1.01295,0.87952,0.80527,0.87799,0.52336,1.46834,0.84445,1.29553,0.0001982,0.0001982,0.0001982
93,2652.28,0.88838,0.46267,1.00704,0.8624,0.81546,0.87638,0.52047,1.47596,0.84025,1.29271,0.0001784,0.0001784,0.0001784
94,2679.96,0.88386,0.45733,1.00353,0.84505,0.82371,0.87382,0.52571,1.46424,0.85454,1.28105,0.0001586,0.0001586,0.0001586
95,2707.61,0.87212,0.45258,1.00281,0.8533,0.83402,0.87909,0.52619,1.46882,0.85283,1.28986,0.0001388,0.0001388,0.0001388
96,2735.29,0.86798,0.45077,0.99639,0.86087,0.82887,0.87556,0.52654,1.45732,0.84445,1.28969,0.000119,0.000119,0.000119
97,2762.97,0.86276,0.44947,0.99117,0.85726,0.83196,0.87942,0.52286,1.47362,0.83708,1.28773,9.92e-05,9.92e-05,9.92e-05
98,2790.64,0.85867,0.44219,0.98985,0.85112,0.83103,0.87983,0.52552,1.46907,0.8521,1.28712,7.94e-05,7.94e-05,7.94e-05
99,2818.28,0.85235,0.44296,0.99117,0.84658,0.83402,0.87829,0.52418,1.46311,0.85943,1.28512,5.96e-05,5.96e-05,5.96e-05
100,2845.93,0.84871,0.43741,0.98812,0.84932,0.83814,0.87978,0.5298,1.46131,0.86272,1.28881,3.98e-05,3.98e-05,3.98e-05
