epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,3076.18,1.09435,0.91046,1.17391,0.8327,0.77639,0.83197,0.54231,1.24198,0.90692,1.17777,0.004456,0.004456,0.004456
58,3129.96,1.09082,0.89696,1.16621,0.86662,0.75383,0.83148,0.55133,1.22993,0.90562,1.16821,0.004357,0.004357,0.004357
59,3183.69,1.08418,0.90244,1.17034,0.82005,0.79107,0.83249,0.55063,1.23555,0.91636,1.17307,0.004258,0.004258,0.004258
60,3237.7,1.08175,0.90467,1.16634,0.83742,0.77469,0.83115,0.54513,1.25715,0.91396,1.17936,0.004159,0.004159,0.004159
61,3291.67,1.07462,0.89342,1.16085,0.83239,0.7854,0.84225,0.55693,1.2468,0.89575,1.17715,0.00406,0.00406,0.00406
62,3345.57,1.07206,0.88708,1.16103,0.85439,0.7666,0.83666,0.55538,1.24445,0.9041,1.17958,0.003961,0.003961,0.003961
63,3399.68,1.07097,0.88697,1.15994,0.85258,0.76038,0.82416,0.55562,1.22375,0.90321,1.17014,0.003862,0.003862,0.003862
64,3453.63,1.07078,0.87854,1.15756,0.82208,0.77602,0.82445,0.55204,1.23298,0.90156,1.17042,0.003763,0.003763,0.003763
65,3507.66,1.06479,0.86945,1.15355,0.82919,0.77124,0.8309,0.55538,1.22865,0.89947,1.16461,0.003664,0.003664,0.003664
66,3561.94,1.05679,0.87293,1.15442,0.84414,0.77279,0.83494,0.55989,1.23845,0.88972,1.173,0.003565,0.003565,0.003565
67,3616.09,1.05354,0.86909,1.1511,0.84169,0.77669,0.82458,0.55031,1.23975,0.89421,1.17682,0.003466,0.003466,0.003466
68,3670.2,1.04366,0.85043,1.13751,0.84043,0.77307,0.83083,0.55919,1.22754,0.8849,1.16934,0.003367,0.003367,0.003367
69,3724.39,1.04533,0.86059,1.1433,0.85376,0.76817,0.82827,0.55528,1.23145,0.91336,1.16436,0.003268,0.003268,0.003268
70,3778.59,1.03422,0.8432,1.136,0.84869,0.76074,0.82771,0.56039,1.21509,0.90065,1.15574,0.003169,0.003169,0.003169
71,3832.85,1.0286,0.84067,1.13196,0.84676,0.76421,0.82785,0.55963,1.2163,0.88863,1.15527,0.00307,0.00307,0.00307
72,3887.03,1.03062,0.84105,1.13515,0.83245,0.77176,0.83294,0.56276,1.21511,0.89217,1.15265,0.002971,0.002971,0.002971
73,3941.27,1.0281,0.85002,1.13815,0.85783,0.7665,0.83667,0.56999,1.20824,0.88555,1.14801,0.002872,0.002872,0.002872
74,3995.59,1.02561,0.83494,1.13465,0.85477,0.78351,0.83325,0.56979,1.20566,0.87334,1.15254,0.002773,0.002773,0.002773
75,4049.71,1.01607,0.82492,1.12667,0.83785,0.77624,0.82788,0.5681,1.20736,0.88801,1.14969,0.002674,0.002674,0.002674
76,4103.69,1.00859,0.82161,1.12522,0.84154,0.77225,0.82577,0.56635,1.20604,0.8809,1.15606,0.002575,0.002575,0.002575
77,4157.97,1.01816,0.83431,1.13257,0.84067,0.77371,0.83331,0.56925,1.20285,0.86787,1.15538,0.002476,0.002476,0.002476
78,4212.19,1.0059,0.81016,1.12153,0.83091,0.77974,0.82934,0.56356,1.21787,0.86971,1.16777,0.002377,0.002377,0.002377
79,4266.28,1.00267,0.82093,1.12212,0.83833,0.78784,0.83165,0.56287,1.21828,0.87774,1.15785,0.002278,0.002278,0.002278
80,4320.59,1.00011,0.80784,1.12244,0.83155,0.78765,0.83263,0.55988,1.22514,0.88557,1.16062,0.002179,0.002179,0.002179
81,4374.72,0.997,0.81372,1.11707,0.83267,0.79257,0.83746,0.56789,1.21491,0.87936,1.16092,0.00208,0.00208,0.00208
82,4428.85,0.99408,0.80404,1.11468,0.85146,0.76856,0.83445,0.57221,1.2078,0.87925,1.15416,0.001981,0.001981,0.001981
