epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,2109.23,0.85793,1.40907,0.74095,1.054,0.83405,0.74684,0.76124,0.56082,0.72161,0.64541,0.60764,0.19407,1.02566,1.22825,0.97868,1.06606,0.0009704,0.0009704,0.0009704
54,2149.32,0.84285,1.40101,0.74473,1.05578,0.83523,0.7125,0.77687,0.57597,0.7224,0.60241,0.60862,0.19956,0.98403,1.2399,0.9248,1.04886,0.0009506,0.0009506,0.0009506
55,2189.12,0.84606,1.41416,0.73916,1.0472,0.78174,0.75904,0.78449,0.59226,0.70447,0.63052,0.63301,0.20129,0.97698,1.24609,0.91908,1.05622,0.0009308,0.0009308,0.0009308
56,2228.3,0.8413,1.39094,0.70678,1.04489,0.82786,0.69478,0.77262,0.59028,0.70136,0.64659,0.63962,0.21425,0.97657,1.23337,0.93993,1.03881,0.000911,0.000911,0.000911
57,2267.87,0.84384,1.39427,0.72902,1.05198,0.85345,0.70166,0.77134,0.5858,0.74325,0.60453,0.62541,0.19869,0.94031,1.23864,0.93594,1.03473,0.0008912,0.0008912,0.0008912
58,2307.06,0.82994,1.3864,0.72338,1.04139,0.80312,0.71888,0.77435,0.57503,0.72243,0.63454,0.62963,0.20833,1.02173,1.24481,0.95901,1.06926,0.0008714,0.0008714,0.0008714
59,2347.49,0.82909,1.3755,0.72399,1.04251,0.83824,0.70757,0.76257,0.58047,0.75735,0.63929,0.63338,0.20794,0.95807,1.23464,0.95518,1.0153,0.0008516,0.0008516,0.0008516
60,2387.74,0.83348,1.39596,0.71825,1.04948,0.83581,0.73092,0.78996,0.60541,0.73794,0.6333,0.62287,0.20847,0.92473,1.22475,0.94333,1.00755,0.0008318,0.0008318,0.0008318
61,2427.86,0.83022,1.37775,0.71505,1.0442,0.85419,0.71486,0.79498,0.61125,0.75214,0.60936,0.62597,0.2132,0.96634,1.24442,0.9119,1.03879,0.000812,0.000812,0.000812
62,2467.19,0.83138,1.3879,0.70515,1.04559,0.81446,0.71888,0.78282,0.58347,0.75504,0.60654,0.6337,0.2152,1.02134,1.22231,0.93468,1.05194,0.0007922,0.0007922,0.0007922
63,2506.27,0.79929,1.37215,0.68789,1.03285,0.85658,0.72691,0.7924,0.60299,0.77412,0.63454,0.6506,0.21549,0.99817,1.23011,0.93933,1.05903,0.0007724,0.0007724,0.0007724
64,2545.2,0.8206,1.3765,0.70852,1.03841,0.83225,0.69736,0.76742,0.58671,0.75976,0.59696,0.62221,0.2033,0.97514,1.26177,0.9318,1.03776,0.0007526,0.0007526,0.0007526
65,2584.44,0.82854,1.37817,0.70562,1.04008,0.83122,0.71888,0.79432,0.59202,0.73273,0.62651,0.6284,0.20639,0.94478,1.24725,0.89471,1.01423,0.0007328,0.0007328,0.0007328
66,2623.28,0.80513,1.37889,0.68229,1.02868,0.85521,0.72289,0.77769,0.59738,0.78043,0.64659,0.65833,0.22068,0.93585,1.24604,0.91285,1.00996,0.000713,0.000713,0.000713
67,2662.22,0.80928,1.37422,0.67677,1.03878,0.84719,0.73478,0.80027,0.60131,0.73063,0.63181,0.62341,0.20329,0.97223,1.23819,0.89983,1.03803,0.0006932,0.0006932,0.0006932
68,2701.07,0.80432,1.37593,0.68925,1.03216,0.8456,0.72585,0.78242,0.59417,0.74735,0.64152,0.62048,0.20266,0.94209,1.23881,0.90483,1.02921,0.0006734,0.0006734,0.0006734
69,2740.06,0.81294,1.38204,0.69045,1.03618,0.82492,0.73092,0.78218,0.59988,0.70494,0.63326,0.60127,0.2015,0.97208,1.25691,0.87123,1.04766,0.0006536,0.0006536,0.0006536
70,2779.27,0.80928,1.37621,0.67626,1.04029,0.83079,0.751,0.79781,0.61077,0.7478,0.63454,0.62285,0.2122,0.92643,1.24704,0.87057,1.00803,0.0006338,0.0006338,0.0006338
71,2818.07,0.81101,1.3792,0.67497,1.03324,0.81922,0.73896,0.76985,0.58637,0.70918,0.64659,0.61114,0.20649,0.94377,1.23569,0.93783,0.98786,0.000614,0.000614,0.000614
72,2856.74,0.80584,1.36232,0.67798,1.03124,0.85052,0.71888,0.79021,0.59632,0.73174,0.61446,0.61399,0.20381,0.96011,1.24424,0.92943,1.01602,0.0005942,0.0005942,0.0005942
73,2895.56,0.7871,1.36169,0.67092,1.02776,0.82845,0.71486,0.7845,0.59578,0.697,0.60973,0.59159,0.20376,0.95534,1.25145,0.9203,1.00791,0.0005744,0.0005744,0.0005744
74,2934.38,0.78389,1.3585,0.65592,1.01661,0.79622,0.71084,0.77963,0.57963,0.72397,0.57831,0.59091,0.20202,0.95108,1.23816,0.92825,1.03469,0.0005546,0.0005546,0.0005546
75,2973.21,0.78923,1.3615,0.68011,1.02527,0.85461,0.70821,0.77445,0.58005,0.74156,0.57831,0.58211,0.20246,0.98771,1.25602,0.90649,1.03807,0.0005348,0.0005348,0.0005348
76,3012.32,0.77164,1.32957,0.63743,1.01384,0.82399,0.73324,0.78156,0.59789,0.7247,0.64489,0.63363,0.21008,0.92477,1.26629,0.88655,0.98789,0.000515,0.000515,0.000515
77,3051.14,0.78422,1.35451,0.6516,1.02236,0.83357,0.71084,0.77457,0.58763,0.7475,0.63454,0.63634,0.20823,0.93626,1.26888,0.91736,1.00349,0.0004952,0.0004952,0.0004952
78,3090.07,0.78161,1.35098,0.64726,1.01888,0.8328,0.72012,0.78714,0.60122,0.76065,0.60241,0.61794,0.21345,0.91754,1.25058,0.89497,1.01014,0.0004754,0.0004754,0.0004754
79,3128.86,0.78776,1.37042,0.65933,1.02591,0.80182,0.73494,0.78831,0.60673,0.66991,0.70281,0.62512,0.20964,0.91798,1.25805,0.87956,0.99904,0.0004556,0.0004556,0.0004556
80,3167.88,0.77957,1.33763,0.64878,1.01787,0.85271,0.72289,0.79477,0.61391,0.69915,0.67871,0.62981,0.21416,0.93067,1.24986,0.87355,1.00052,0.0004358,0.0004358,0.0004358
81,3206.64,0.76736,1.33302,0.63536,1.01469,0.81845,0.7242,0.77271,0.59331,0.72813,0.62249,0.62139,0.20752,0.97443,1.24828,0.91959,1.03886,0.000416,0.000416,0.000416
82,3245.44,0.76375,1.34011,0.64367,1.01893,0.84403,0.72289,0.79802,0.6097,0.74619,0.62577,0.63578,0.21102,0.91508,1.25197,0.91518,0.99877,0.0003962,0.0003962,0.0003962
83,3284.16,0.77015,1.34909,0.64205,1.01452,0.82226,0.74315,0.79917,0.61062,0.72047,0.63855,0.64423,0.21606,0.94109,1.25622,0.88858,1.00374,0.0003764,0.0003764,0.0003764
84,3322.85,0.76055,1.33351,0.63228,1.01234,0.82713,0.73019,0.78815,0.60135,0.70736,0.62651,0.6096,0.20698,0.96222,1.2634,0.91294,1.03243,0.0003566,0.0003566,0.0003566
85,3361.87,0.7585,1.32625,0.63202,1.01697,0.83215,0.71678,0.79549,0.61721,0.68508,0.67068,0.63969,0.21522,0.92034,1.25172,0.89826,0.99883,0.0003368,0.0003368,0.0003368
86,3400.64,0.75229,1.33438,0.61852,1.00789,0.821,0.73682,0.79007,0.61121,0.72445,0.6506,0.64309,0.21876,0.9267,1.26867,0.90227,0.98979,0.000317,0.000317,0.000317
87,3439.44,0.76226,1.34226,0.62539,1.01013,0.82591,0.74297,0.78882,0.60808,0.72761,0.65863,0.63719,0.20526,0.92149,1.26651,0.9031,1.0053,0.0002972,0.0002972,0.0002972
88,3478.21,0.75285,1.35179,0.61992,1.01076,0.83429,0.72289,0.79616,0.61575,0.72057,0.63052,0.60937,0.2113,0.90886,1.28327,0.90801,1.00001,0.0002774,0.0002774,0.0002774
89,3517.01,0.75945,1.33608,0.62516,1.01249,0.81831,0.74297,0.79877,0.61503,0.76045,0.63745,0.65327,0.21702,0.91556,1.27991,0.91842,0.98878,0.0002576,0.0002576,0.0002576
90,3556.14,0.75403,1.34104,0.61984,1.00983,0.81113,0.73896,0.7893,0.61083,0.71001,0.64659,0.63032,0.21264,0.90535,1.27299,0.91117,0.99437,0.0002378,0.0002378,0.0002378
91,3595.53,0.65855,0.99146,0.6186,1.06384,0.82892,0.73942,0.79613,0.61365,0.6841,0.66097,0.61409,0.2099,0.88612,1.26672,0.88901,0.98933,0.000218,0.000218,0.000218
92,3633.91,0.64707,1.00371,0.59073,1.05479,0.82409,0.73896,0.7799,0.60872,0.69128,0.66265,0.61397,0.20743,0.90924,1.27687,0.89448,0.99847,0.0001982,0.0001982,0.0001982
93,3672.34,0.64699,1.00562,0.59152,1.05764,0.82592,0.7431,0.77899,0.61041,0.70141,0.66982,0.60891,0.21134,0.90183,1.27008,0.89571,0.99358,0.0001784,0.0001784,0.0001784
94,3710.74,0.64138,0.99072,0.57978,1.05549,0.8203,0.751,0.77092,0.60372,0.73156,0.64573,0.60444,0.20884,0.92148,1.26771,0.89807,0.99772,0.0001586,0.0001586,0.0001586
95,3749.16,0.62645,0.98584,0.57452,1.04275,0.85196,0.72691,0.77489,0.60753,0.74168,0.63052,0.60736,0.21662,0.89143,1.27886,0.90422,0.9786,0.0001388,0.0001388,0.0001388
96,3787.57,0.6258,0.98589,0.56585,1.04107,0.83469,0.74297,0.77657,0.61012,0.73507,0.65745,0.61391,0.21462,0.89791,1.28574,0.88655,0.99545,0.000119,0.000119,0.000119
97,3825.96,0.61831,0.97249,0.56022,1.0447,0.81839,0.76305,0.78075,0.61428,0.71259,0.6747,0.62173,0.21709,0.91688,1.2749,0.8891,0.99079,9.92e-05,9.92e-05,9.92e-05
98,3864.55,0.61372,0.98038,0.55014,1.03765,0.80747,0.77479,0.78709,0.6199,0.71429,0.68675,0.62275,0.21789,0.88788,1.29479,0.87248,0.9772,7.94e-05,7.94e-05,7.94e-05
99,3903,0.60927,0.97298,0.54407,1.02669,0.7833,0.78391,0.78202,0.61106,0.67882,0.67903,0.60039,0.21125,0.91023,1.29187,0.89669,0.99242,5.96e-05,5.96e-05,5.96e-05
100,3941.44,0.60793,0.97479,0.53819,1.03579,0.79603,0.78715,0.78546,0.61352,0.69418,0.68675,0.61129,0.21838,0.89935,1.28308,0.89137,0.98741,3.98e-05,3.98e-05,3.98e-05
